0	1	n	1
1	2	n	2
2	3	n	3
3	4	n	4
4	5	n	5
5	6	n	6
6	7	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	4	n	4
4	5	n	5
5	7	6	n
6	6	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	4	n	4
4	6	5	6
5	5	n	n
6	7	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	4	n	4
4	7	5	n
5	5	n	6
6	6	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	4	n	4
4	7	5	n
5	6	6	n
6	5	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	5	4	5
4	4	n	n
5	6	n	6
6	7	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	5	4	5
4	4	n	n
5	7	6	n
6	6	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	6	4	5
4	4	n	6
6	5	n	n
5	7	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	6	4	5
4	5	6	n
6	4	n	n
5	7	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	7	4	n
4	4	n	5
5	5	n	6
6	6	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	7	4	n
4	4	n	5
5	6	6	n
6	5	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	7	4	n
4	5	5	6
5	4	n	n
6	6	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	7	4	n
4	6	5	n
5	4	n	6
6	5	n	n

0	1	n	1
1	2	n	2
2	3	n	3
3	7	4	n
4	6	5	n
5	5	6	n
6	4	n	n

0	1	n	1
1	2	n	2
2	4	3	4
3	3	n	n
4	5	n	5
5	6	n	6
6	7	n	n

0	1	n	1
1	2	n	2
2	4	3	4
3	3	n	n
4	5	n	5
5	7	6	n
6	6	n	n

0	1	n	1
1	2	n	2
2	4	3	4
3	3	n	n
4	6	5	6
5	5	n	n
6	7	n	n

0	1	n	1
1	2	n	2
2	4	3	4
3	3	n	n
4	7	5	n
5	5	n	6
6	6	n	n

0	1	n	1
1	2	n	2
2	4	3	4
3	3	n	n
4	7	5	n
5	6	6	n
6	5	n	n

0	1	n	1
1	2	n	2
2	5	3	4
3	3	n	5
5	4	n	n
4	6	n	6
6	7	n	n

0	1	n	1
1	2	n	2
2	5	3	4
3	3	n	5
5	4	n	n
4	7	6	n
6	6	n	n

0	1	n	1
1	2	n	2
2	5	3	4
3	4	5	n
5	3	n	n
4	6	n	6
6	7	n	n

0	1	n	1
1	2	n	2
2	5	3	4
3	4	5	n
5	3	n	n
4	7	6	n
6	6	n	n

0	1	n	1
1	2	n	2
2	6	3	4
3	3	n	5
5	4	n	6
6	5	n	n
4	7	n	n

0	1	n	1
1	2	n	2
2	6	3	4
3	3	n	5
5	5	6	n
6	4	n	n
4	7	n	n

0	1	n	1
1	2	n	2
2	6	3	4
3	4	5	6
5	3	n	n
6	5	n	n
4	7	n	n

0	1	n	1
1	2	n	2
2	6	3	4
3	5	5	n
5	3	n	6
6	4	n	n
4	7	n	n

0	1	n	1
1	2	n	2
2	6	3	4
3	5	5	n
5	4	6	n
6	3	n	n
4	7	n	n

0	1	n	1
1	2	n	2
2	7	3	n
3	3	n	4
4	4	n	5
5	5	n	6
6	6	n	n

0	1	n	1
1	2	n	2
2	7	3	n
3	3	n	4
4	4	n	5
5	6	6	n
6	5	n	n

0	1	n	1
1	2	n	2
2	7	3	n
3	3	n	4
4	5	5	6
5	4	n	n
6	6	n	n

0	1	n	1
1	2	n	2
